COUNTRY,ID_0,year,month,est,se
Albania,ALB,2017,08,0,0
Austria,AUT,2017,08,0,0
Belgium,BEL,2017,08,0,0
Bulgaria,BGR,2017,08,0,0
China,CHN,2017,08,0,0
Croatia,HRV,2017,08,0,0
France,FRA,2017,08,0,0
Germany,DEU,2017,08,0,0
Greece,GRC,2017,08,0,0
Hungary,HUN,2017,08,2.783,7.491199121359148
India,IND,2017,08,0,0
Italy,ITA,2017,08,0.29,1.0349586104456867
Kosovo,XKO,2017,08,0,0
Netherlands,NLD,2017,08,0,0
Pakistan,PAK,2017,08,0,0
Peru,PER,2017,08,0,0
Romania,ROU,2017,08,0,0
Serbia,SRB,2017,08,0,0
Slovenia,SVN,2017,08,0,0
Spain,ESP,2017,08,0,0
Turkey,TUR,2017,08,0,0
United States,USA,2017,08,0,0
