masked_lon,masked_lat,TigacellID,est,se
-0.05,38.6,-0.05_38.6,0,0
-0.05,38.65,-0.05_38.65,0,0
-0.05,38.7,-0.05_38.7,0,0
-0.05,38.75,-0.05_38.75,0,0
-0.05,38.8,-0.05_38.8,0,0
-0.05,38.85,-0.05_38.85,0,0
-0.05,39.9,-0.05_39.9,0,0
-0.05,39.95,-0.05_39.95,0,0
-0.05,40,-0.05_40,0,0
-0.05,40.05,-0.05_40.05,0,0
-0.05,40.1,-0.05_40.1,0,0
-0.05,40.15,-0.05_40.15,0,0
-0.05,40.25,-0.05_40.25,0,0
-0.05,40.3,-0.05_40.3,0,0
-0.05,40.35,-0.05_40.35,0,0
-0.05,40.55,-0.05_40.55,0,0
-0.05,40.7,-0.05_40.7,0,0
-0.05,40.75,-0.05_40.75,0,0
-0.05,40.8,-0.05_40.8,0,0
-0.05,40.95,-0.05_40.95,0,0
-0.05,41.2,-0.05_41.2,0,0
-0.05,41.3,-0.05_41.3,0,0
-0.05,41.45,-0.05_41.45,0,0
-0.05,41.5,-0.05_41.5,0,0
-0.05,41.7,-0.05_41.7,0,0
-0.05,41.95,-0.05_41.95,0,0
-0.05,42.05,-0.05_42.05,0,0
-0.05,42.1,-0.05_42.1,0,0
-0.05,42.15,-0.05_42.15,0,0
-0.05,42.55,-0.05_42.55,0,0
-0.05,42.6,-0.05_42.6,0,0
-0.05,42.65,-0.05_42.65,0,0
-0.05,44.75,-0.05_44.75,0,0
-0.05,45,-0.05_45,0,0
-0.1,38.55,-0.1_38.55,0.08326650488431903,0.021965367018919543
-0.1,38.6,-0.1_38.6,0,0
-0.1,38.65,-0.1_38.65,0,0
-0.1,38.7,-0.1_38.7,0,0
-0.1,38.75,-0.1_38.75,0,0
-0.1,38.8,-0.1_38.8,0,0
-0.1,38.85,-0.1_38.85,0.1000543930956082,0.02639394399048646
-0.1,39.85,-0.1_39.85,0,0
-0.1,39.9,-0.1_39.9,0,0
-0.1,39.95,-0.1_39.95,0.66,0.47394580346767984
-0.1,40,-0.1_40,0,0
-0.1,40.05,-0.1_40.05,0,0
-0.1,40.1,-0.1_40.1,0,0
-0.1,40.15,-0.1_40.15,0,0
-0.1,40.2,-0.1_40.2,0,0
-0.1,40.25,-0.1_40.25,0,0
-0.1,40.3,-0.1_40.3,0,0
-0.1,40.6,-0.1_40.6,0,0
-0.1,40.65,-0.1_40.65,0,0
-0.1,40.75,-0.1_40.75,0,0
-0.1,40.95,-0.1_40.95,0,0
-0.1,41.2,-0.1_41.2,0,0
-0.1,41.25,-0.1_41.25,0,0
-0.1,41.3,-0.1_41.3,0,0
-0.1,41.5,-0.1_41.5,0,0
-0.1,41.7,-0.1_41.7,0,0
-0.1,41.85,-0.1_41.85,0,0
-0.1,41.9,-0.1_41.9,0,0
-0.1,42.05,-0.1_42.05,0,0
-0.1,42.1,-0.1_42.1,0,0
-0.1,42.25,-0.1_42.25,0,0
-0.1,42.6,-0.1_42.6,0,0
-0.1,42.65,-0.1_42.65,0,0
-0.1,43.2,-0.1_43.2,0,0
-0.1,44.55,-0.1_44.55,0,0
-0.1,47.2,-0.1_47.2,0,0
-0.1,47.25,-0.1_47.25,0,0
-0.1,47.35,-0.1_47.35,0,0
-0.1,49.25,-0.1_49.25,0,0
-0.15,38.55,-0.15_38.55,0,0
-0.15,38.6,-0.15_38.6,0.24979951465295708,0.06589610105675862
-0.15,38.75,-0.15_38.75,0,0
-0.15,38.8,-0.15_38.8,0,0
-0.15,38.9,-0.15_38.9,0,0
-0.15,39.8,-0.15_39.8,0,0
-0.15,39.85,-0.15_39.85,0,0
-0.15,39.9,-0.15_39.9,0,0
-0.15,39.95,-0.15_39.95,0,0
-0.15,40.6,-0.15_40.6,0,0
-0.15,40.65,-0.15_40.65,0,0
-0.15,40.9,-0.15_40.9,0,0
-0.15,41,-0.15_41,0,0
-0.15,41.05,-0.15_41.05,0,0
-0.15,41.7,-0.15_41.7,0,0
-0.15,42.6,-0.15_42.6,0,0
-0.15,47.35,-0.15_47.35,0,0
-0.2,38.5,-0.2_38.5,0,0
-0.2,38.55,-0.2_38.55,0,0
-0.2,38.6,-0.2_38.6,0,0
-0.2,38.65,-0.2_38.65,0,0
-0.2,38.7,-0.2_38.7,0,0
-0.2,38.75,-0.2_38.75,0,0
-0.2,38.8,-0.2_38.8,0,0
-0.2,38.85,-0.2_38.85,0,0
-0.2,38.9,-0.2_38.9,0,0
-0.2,38.95,-0.2_38.95,0,0
-0.2,39.75,-0.2_39.75,0,0
-0.2,39.8,-0.2_39.8,0,0
-0.2,39.85,-0.2_39.85,0,0
-0.2,39.9,-0.2_39.9,0,0
-0.2,39.95,-0.2_39.95,0,0
-0.2,40,-0.2_40,0,0
-0.2,40.05,-0.2_40.05,0,0
-0.2,40.1,-0.2_40.1,0,0
-0.2,40.15,-0.2_40.15,0,0
-0.2,40.2,-0.2_40.2,0,0
-0.2,40.3,-0.2_40.3,0,0
-0.2,40.35,-0.2_40.35,0,0
-0.2,40.45,-0.2_40.45,0,0
-0.2,40.6,-0.2_40.6,0,0
-0.2,40.65,-0.2_40.65,0,0
-0.2,40.8,-0.2_40.8,0,0
-0.2,40.95,-0.2_40.95,0,0
-0.2,41,-0.2_41,0,0
-0.2,41.05,-0.2_41.05,0,0
-0.2,41.25,-0.2_41.25,0,0
-0.2,41.45,-0.2_41.45,0,0
-0.2,41.5,-0.2_41.5,0,0
-0.2,41.75,-0.2_41.75,0,0
-0.2,41.8,-0.2_41.8,0,0
-0.2,41.85,-0.2_41.85,0,0
-0.2,41.9,-0.2_41.9,0,0
-0.2,42.05,-0.2_42.05,0,0
-0.2,42.1,-0.2_42.1,0,0
-0.2,42.45,-0.2_42.45,0,0
-0.2,42.55,-0.2_42.55,0,0
-0.2,42.6,-0.2_42.6,0,0
-0.2,42.65,-0.2_42.65,0,0
-0.2,43.25,-0.2_43.25,0,0
-0.2,44.5,-0.2_44.5,0,0
-0.2,44.55,-0.2_44.55,0,0
-0.2,44.75,-0.2_44.75,0,0
-0.2,44.8,-0.2_44.8,0,0
-0.2,44.95,-0.2_44.95,0,0
-0.2,45,-0.2_45,0,0
-0.2,49.2,-0.2_49.2,0,0
-0.2,49.25,-0.2_49.25,0,0
-0.25,38.5,-0.25_38.5,0,0
-0.25,38.55,-0.25_38.55,0,0
-0.25,38.65,-0.25_38.65,0,0
-0.25,38.8,-0.25_38.8,0,0
-0.25,38.85,-0.25_38.85,0,0
-0.25,38.9,-0.25_38.9,0,0
-0.25,38.95,-0.25_38.95,0,0
-0.25,39,-0.25_39,0,0
-0.25,39.05,-0.25_39.05,0,0
-0.25,39.65,-0.25_39.65,0,0
-0.25,39.7,-0.25_39.7,0,0
-0.25,39.75,-0.25_39.75,0,0
-0.25,39.8,-0.25_39.8,0,0
-0.25,39.9,-0.25_39.9,0,0
-0.25,39.95,-0.25_39.95,0,0
-0.25,40.05,-0.25_40.05,0,0
-0.25,40.1,-0.25_40.1,0,0
-0.25,40.55,-0.25_40.55,0,0
-0.25,40.6,-0.25_40.6,0,0
-0.25,40.65,-0.25_40.65,0,0
-0.25,40.75,-0.25_40.75,0,0
-0.25,40.8,-0.25_40.8,0,0
-0.25,40.9,-0.25_40.9,0,0
-0.25,40.95,-0.25_40.95,0,0
-0.25,41,-0.25_41,0,0
-0.25,41.05,-0.25_41.05,0,0
-0.25,41.45,-0.25_41.45,0,0
-0.25,41.5,-0.25_41.5,0,0
-0.25,41.6,-0.25_41.6,0,0
-0.25,41.75,-0.25_41.75,0,0
-0.25,41.95,-0.25_41.95,0,0
-0.25,42.1,-0.25_42.1,0,0
-0.25,42.35,-0.25_42.35,0,0
-0.25,42.6,-0.25_42.6,0,0
-0.25,42.75,-0.25_42.75,0,0
-0.25,44.55,-0.25_44.55,0,0
-0.25,44.9,-0.25_44.9,0,0
-0.25,44.95,-0.25_44.95,0,0
-0.25,48.85,-0.25_48.85,0,0
-0.25,48.9,-0.25_48.9,0,0
-0.25,48.95,-0.25_48.95,0,0
-0.3,38.5,-0.3_38.5,0,0
-0.3,38.55,-0.3_38.55,0,0
-0.3,38.6,-0.3_38.6,0,0
-0.3,38.95,-0.3_38.95,0,0
-0.3,39.05,-0.3_39.05,0,0
-0.3,39.15,-0.3_39.15,0,0
-0.3,39.2,-0.3_39.2,0,0
-0.3,39.25,-0.3_39.25,0,0
-0.3,39.6,-0.3_39.6,0,0
-0.3,39.65,-0.3_39.65,0,0
-0.3,39.7,-0.3_39.7,0,0
-0.3,39.95,-0.3_39.95,0,0
-0.3,40.05,-0.3_40.05,0,0
-0.3,40.8,-0.3_40.8,0,0
-0.3,41.5,-0.3_41.5,0,0
-0.3,42.65,-0.3_42.65,0,0
-0.3,42.7,-0.3_42.7,0,0
-0.3,43.1,-0.3_43.1,0,0
-0.3,44.45,-0.3_44.45,0,0
-0.3,44.55,-0.3_44.55,0,0
-0.3,49.25,-0.3_49.25,0,0
-0.35,38.45,-0.35_38.45,0,0
-0.35,38.5,-0.35_38.5,0,0
-0.35,38.55,-0.35_38.55,0,0
-0.35,38.65,-0.35_38.65,0,0
-0.35,38.7,-0.35_38.7,0,0
-0.35,38.75,-0.35_38.75,0,0
-0.35,38.9,-0.35_38.9,0,0
-0.35,38.95,-0.35_38.95,0,0
-0.35,39,-0.35_39,0,0
-0.35,39.05,-0.35_39.05,0,0
-0.35,39.1,-0.35_39.1,0,0
-0.35,39.15,-0.35_39.15,0,0
-0.35,39.2,-0.35_39.2,0,0
-0.35,39.25,-0.35_39.25,0,0
-0.35,39.3,-0.35_39.3,0,0
-0.35,39.35,-0.35_39.35,0,0
-0.35,39.45,-0.35_39.45,0.06233333333332664,0.08068428842619789
-0.35,39.5,-0.35_39.5,0,0
-0.35,39.55,-0.35_39.55,0,0
-0.35,39.6,-0.35_39.6,0,0
-0.35,39.65,-0.35_39.65,0,0
-0.35,39.7,-0.35_39.7,0,0
-0.35,39.8,-0.35_39.8,0,0
-0.35,39.85,-0.35_39.85,0,0
-0.35,39.9,-0.35_39.9,0,0
-0.35,39.95,-0.35_39.95,0,0
-0.35,40,-0.35_40,0,0
-0.35,40.1,-0.35_40.1,0,0
-0.35,40.15,-0.35_40.15,0,0
-0.35,40.4,-0.35_40.4,0,0
-0.35,40.45,-0.35_40.45,0,0
-0.35,40.6,-0.35_40.6,0,0
-0.35,40.7,-0.35_40.7,0,0
-0.35,40.75,-0.35_40.75,0,0
-0.35,40.9,-0.35_40.9,0,0
-0.35,41.25,-0.35_41.25,0,0
-0.35,41.45,-0.35_41.45,0,0
-0.35,41.5,-0.35_41.5,0,0
-0.35,41.85,-0.35_41.85,0,0
-0.35,41.9,-0.35_41.9,0,0
-0.35,42.1,-0.35_42.1,0,0
-0.35,42.15,-0.35_42.15,0,0
-0.35,42.4,-0.35_42.4,0,0
-0.35,42.45,-0.35_42.45,0,0
