COUNTRY,ID_0,year,month,est,se
Albania,ALB,2021,08,0,0
Austria,AUT,2021,08,0,0
Belgium,BEL,2021,08,0,0
Bulgaria,BGR,2021,08,0,0
China,CHN,2021,08,0,0
Croatia,HRV,2021,08,0,0
France,FRA,2021,08,0,0
Germany,DEU,2021,08,0,0
Greece,GRC,2021,08,0,0
Hungary,HUN,2021,08,3.0340000000000003,7.753673124931383
India,IND,2021,08,0,0
Italy,ITA,2021,08,0.302,1.0534931032211072
Kosovo,XKO,2021,08,0,0
Netherlands,NLD,2021,08,0,0
Pakistan,PAK,2021,08,0,0
Peru,PER,2021,08,0,0
Romania,ROU,2021,08,0,0
Serbia,SRB,2021,08,0,0
Slovenia,SVN,2021,08,0,0
Spain,ESP,2021,08,0,0
Turkey,TUR,2021,08,0,0
United States,USA,2021,08,0,0
