COUNTRY,ID_0,year,month,est,se
Albania,ALB,2015,03,0,0
Austria,AUT,2015,03,0,0
Belgium,BEL,2015,03,0,0
Bulgaria,BGR,2015,03,0,0
China,CHN,2015,03,0,0
Croatia,HRV,2015,03,0,0
France,FRA,2015,03,0,0
Germany,DEU,2015,03,0,0
Greece,GRC,2015,03,0,0
Hungary,HUN,2015,03,2.708,7.387271003089044
India,IND,2015,03,0,0
Italy,ITA,2015,03,0.295,1.0437234338026515
Kosovo,XKO,2015,03,0,0
Netherlands,NLD,2015,03,0,0
Pakistan,PAK,2015,03,0,0
Peru,PER,2015,03,0,0
Romania,ROU,2015,03,0,0
Serbia,SRB,2015,03,0,0
Slovenia,SVN,2015,03,0,0
Spain,ESP,2015,03,0,0
Turkey,TUR,2015,03,0,0
United States,USA,2015,03,0,0
