COUNTRY,ID_0,year,month,est,se
Albania,ALB,2021,10,0,0
Austria,AUT,2021,10,0,0
Belgium,BEL,2021,10,0,0
Bulgaria,BGR,2021,10,0,0
China,CHN,2021,10,0,0
Croatia,HRV,2021,10,0,0
France,FRA,2021,10,0,0
Germany,DEU,2021,10,0,0
Greece,GRC,2021,10,0,0
Hungary,HUN,2021,10,3.037,7.747596548990261
India,IND,2021,10,0,0
Italy,ITA,2021,10,0.305,1.055609582920333
Kosovo,XKO,2021,10,0,0
Netherlands,NLD,2021,10,0,0
Pakistan,PAK,2021,10,0,0
Peru,PER,2021,10,0,0
Romania,ROU,2021,10,0,0
Serbia,SRB,2021,10,0,0
Slovenia,SVN,2021,10,0,0
Spain,ESP,2021,10,0,0
Turkey,TUR,2021,10,0,0
United States,USA,2021,10,0,0
