COUNTRY,ID_0,year,month,est,se
Albania,ALB,2019,08,0,0
Austria,AUT,2019,08,0,0
Belgium,BEL,2019,08,0,0
Bulgaria,BGR,2019,08,0,0
China,CHN,2019,08,0,0
Croatia,HRV,2019,08,0,0
France,FRA,2019,08,0,0
Germany,DEU,2019,08,0,0
Greece,GRC,2019,08,0,0
Hungary,HUN,2019,08,2.6390000000000002,7.320223879206909
India,IND,2019,08,0,0
Italy,ITA,2019,08,0.324,1.0899874994156553
Kosovo,XKO,2019,08,0,0
Netherlands,NLD,2019,08,0,0
Pakistan,PAK,2019,08,0,0
Peru,PER,2019,08,0,0
Romania,ROU,2019,08,0,0
Serbia,SRB,2019,08,0,0
Slovenia,SVN,2019,08,0,0
Spain,ESP,2019,08,0,0
Turkey,TUR,2019,08,0,0
United States,USA,2019,08,0,0
