COUNTRY,ID_0,year,month,est,se
Albania,ALB,2020,01,0,0
Austria,AUT,2020,01,0,0
Belgium,BEL,2020,01,0,0
Bulgaria,BGR,2020,01,0,0
China,CHN,2020,01,0,0
Croatia,HRV,2020,01,0,0
France,FRA,2020,01,0,0
Germany,DEU,2020,01,0,0
Greece,GRC,2020,01,0,0
Hungary,HUN,2020,01,2.705,7.3703411839393125
India,IND,2020,01,0,0
Italy,ITA,2020,01,0.255,0.9764801863291694
Kosovo,XKO,2020,01,0,0
Netherlands,NLD,2020,01,0,0
Pakistan,PAK,2020,01,0,0
Peru,PER,2020,01,0,0
Romania,ROU,2020,01,0,0
Serbia,SRB,2020,01,0,0
Slovenia,SVN,2020,01,0,0
Spain,ESP,2020,01,0,0
Turkey,TUR,2020,01,0,0
United States,USA,2020,01,0,0
