COUNTRY,ID_0,year,month,est,se
Albania,ALB,2016,07,0,0
Austria,AUT,2016,07,0,0
Belgium,BEL,2016,07,0,0
Bulgaria,BGR,2016,07,0,0
China,CHN,2016,07,0,0
Croatia,HRV,2016,07,0,0
France,FRA,2016,07,0,0
Germany,DEU,2016,07,0,0
Greece,GRC,2016,07,0,0
Hungary,HUN,2016,07,2.701,7.390455330281095
India,IND,2016,07,0,0
Italy,ITA,2016,07,0.278,1.0159359056992487
Kosovo,XKO,2016,07,0,0
Netherlands,NLD,2016,07,0,0
Pakistan,PAK,2016,07,0,0
Peru,PER,2016,07,0,0
Romania,ROU,2016,07,0,0
Serbia,SRB,2016,07,0,0
Slovenia,SVN,2016,07,0,0
Spain,ESP,2016,07,0,0
Turkey,TUR,2016,07,0,0
United States,USA,2016,07,0,0
